?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;;NZVC;јдр;«нчн
27B,0800,27C,0800,7FF,FCED,000,027B,FCED,009,1001;;;;;;;;;;;;
27C,0740,27D,0740,27C,0740,000,027C,FCEC,009,1001;;;;;;;;;;;;
27D,4E0B,27E,4E0B,289,10BA,000,000B,0DA6,001,0001;;;;;;;;;;;;
27E,EE0A,27F,EE0A,289,0DA6,000,000A,0DA6,001,0001,289,0DA6;;;;;;;;;;;;
27F,AE08,280,AE08,288,1567,000,0008,1567,001,0001;;;;;;;;;;;;
280,0C00,281,0C00,7FF,1567,7FF,0280,1567,001,0001,7FF,1567;;;;;;;;;;;;
281,D666,666,D666,7FE,0282,7FE,D666,1567,001,0001,7FE,0282;;;;;;;;;;;;
666,AC01,667,AC01,7FF,1567,7FE,0001,1567,001,0001;;;;;;;;;;;;
667,F303,66B,F303,667,F303,7FE,0003,1567,001,0001;;;;;;;;;;;;
66B,0500,66C,0500,66B,1567,7FE,066B,2ACE,000,0000;;;;;;;;;;;;
66C,0500,66D,0500,66C,2ACE,7FE,066C,559C,000,0000;;;;;;;;;;;;
66D,4C01,66E,4C01,7FF,1567,7FE,0001,6B03,000,0000;;;;;;;;;;;;
66E,4E05,66F,4E05,674,0061,7FE,0005,6B64,000,0000;;;;;;;;;;;;
66F,CE01,671,CE01,66F,0671,7FE,0001,6B64,000,0000;;;;;;;;;;;;
671,EC01,672,EC01,7FF,6B64,7FE,0001,6B64,000,0000,7FF,6B64;;;;;;;;;;;;
672,0A00,282,0A00,7FE,0282,7FF,0672,6B64,000,0000;;;;;;;;;;;;
282,0800,283,0800,7FF,6B64,000,0282,6B64,000,0000;;;;;;;;;;;;
283,6E05,284,6E05,289,0DA6,000,0005,5DBE,001,0001;;;;;;;;;;;;
284,EE04,285,EE04,289,5DBE,000,0004,5DBE,001,0001,289,5DBE;;;;;;;;;;;;
285,0100,286,0100,285,0100,000,0285,5DBE,001,0001;;;;;;;;;;;;
